project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
58515,Brooklyn,0,0,133,0,0,1,134
58515,Brooklyn,0,0,72,0,0,0,72
58516,Brooklyn,0,0,73,0,0,0,73
58516,Brooklyn,0,0,130,0,0,1,131
58516,Brooklyn,0,0,133,0,0,1,134
58005,Bronx,0,0,1,0,0,0,1
58026,Bronx,0,0,1,0,0,0,1
58035,Staten Island,0,0,1,0,0,0,1
52741,Bronx,0,3,4,0,4,0,11
52741,Bronx,0,5,8,0,7,0,20
52741,Bronx,0,6,33,0,9,0,48
54866,Brooklyn,0,0,8,0,0,0,39
57503,Brooklyn,0,26,26,0,13,0,251
57504,Brooklyn,0,0,121,0,0,0,484
52223,Bronx,89,0,1,0,0,0,90
57999,Staten Island,0,0,1,0,0,0,1
58174,Brooklyn,0,0,0,1,0,0,1
57784,Queens,0,0,1,0,0,0,1
57816,Queens,0,0,1,0,0,0,1
52898,Brooklyn,0,0,26,9,0,0,35
53166,Brooklyn,0,0,10,0,0,0,49
57802,Staten Island,0,0,1,0,0,0,1
57829,Bronx,0,0,1,0,0,0,1
53518,Manhattan,0,43,44,0,22,0,429
54727,Brooklyn,0,70,0,0,0,1,71
57824,Staten Island,0,1,0,0,0,0,1
65114,Brooklyn,0,0,2,0,0,0,8
52369,Brooklyn,0,0,11,0,0,0,48
54898,Manhattan,0,0,15,0,0,0,75
57827,Brooklyn,0,0,1,0,0,0,1
59046,Brooklyn,0,0,93,0,0,0,93
59046,Brooklyn,0,0,116,0,0,0,116
50639,Brooklyn,0,0,19,0,0,0,93
53006,Manhattan,0,0,58,0,0,0,289
57806,Staten Island,0,0,1,0,0,0,1
57807,Queens,0,0,1,0,0,0,1
58517,Brooklyn,0,0,100,40,0,1,141
54982,Manhattan,0,11,11,0,6,0,110
53498,Manhattan,0,0,97,0,0,0,483
57809,Staten Island,0,0,1,0,0,0,1
58204,Brooklyn,0,0,0,2,0,0,2
51123,Brooklyn,0,0,25,0,24,1,123
57813,Staten Island,0,0,1,0,0,0,1
57819,Staten Island,0,0,1,0,0,0,1
52852,Bronx,0,0,25,0,0,0,25
52852,Bronx,0,0,69,0,0,0,69
52852,Bronx,0,0,25,0,0,0,25
52852,Bronx,0,0,25,0,0,0,25
52852,Bronx,0,0,37,0,0,0,37
53383,Brooklyn,0,20,106,34,40,0,200
44324,Manhattan,0,0,24,26,52,1,103
52053,Manhattan,0,0,79,0,0,0,392
54292,Brooklyn,10,30,62,0,0,0,103
55121,Brooklyn,0,0,2,0,0,0,2
58241,Bronx,0,0,2,0,0,0,2
50875,Manhattan,0,0,29,0,0,0,122
58504,Bronx,0,52,6,15,0,1,74
55343,Brooklyn,0,25,0,0,0,0,25
57603,Queens,0,0,1,0,0,0,1
52665,Brooklyn,0,0,21,0,0,0,21
57575,Queens,0,0,1,0,0,0,1
54494,Manhattan,0,0,37,0,0,0,37
57585,Bronx,0,0,1,0,0,0,1
57578,Bronx,0,0,1,0,0,0,1
57548,Queens,0,0,1,0,0,0,1
57565,Bronx,0,0,1,0,0,0,1
57567,Queens,0,0,1,0,0,0,1
57557,Queens,0,0,1,0,0,0,1
57570,Staten Island,0,0,1,0,0,0,1
57560,Bronx,0,0,1,0,0,0,1
65095,Manhattan,0,0,10,0,0,0,29
57550,Brooklyn,0,0,1,0,0,0,1
65126,Brooklyn,0,0,2,0,0,0,8
57581,Staten Island,0,1,0,0,0,0,1
65093,Bronx,0,0,11,0,0,0,55
52788,Brooklyn,0,0,29,0,0,0,440
55240,Staten Island,0,0,1,0,0,0,1
49774,Manhattan,0,0,120,0,0,0,598
50200,Bronx,60,0,0,0,0,0,60
55185,Queens,0,0,1,0,0,0,1
55186,Staten Island,0,0,1,0,0,0,1
55187,Staten Island,0,0,1,0,0,0,1
53192,Brooklyn,0,0,104,0,0,0,522
55255,Queens,0,0,1,0,0,0,1
65106,Brooklyn,0,0,2,0,0,0,8
55188,Brooklyn,0,0,1,0,0,0,1
55189,Brooklyn,0,0,1,0,0,0,1
55190,Staten Island,0,1,0,0,0,0,1
55183,Brooklyn,0,0,1,0,0,0,1
55191,Queens,0,0,1,0,0,0,1
50201,Brooklyn,0,0,18,3,0,1,22
52126,Manhattan,0,0,46,0,0,0,225
48775,Brooklyn,0,6,0,0,0,0,6
48775,Brooklyn,0,1,5,0,0,0,6
48775,Brooklyn,0,0,4,0,0,0,4
48775,Brooklyn,0,0,4,0,0,0,4
48775,Brooklyn,0,1,3,0,0,0,4
50059,Brooklyn,0,1,5,0,0,0,6
50059,Brooklyn,0,1,3,0,0,0,4
50059,Brooklyn,0,0,8,0,0,0,8
50059,Brooklyn,0,2,4,0,0,0,6
50059,Brooklyn,0,4,2,0,0,0,6
50059,Brooklyn,0,2,4,0,0,0,6
50059,Brooklyn,0,2,1,0,0,0,3
50206,Brooklyn,4,0,24,0,0,1,29
50206,Brooklyn,3,0,13,0,0,0,16
50206,Brooklyn,1,0,6,0,0,0,7
50206,Brooklyn,1,0,6,0,0,0,7
50206,Brooklyn,0,0,7,0,0,0,7
50206,Brooklyn,12,0,24,0,0,1,37
50206,Brooklyn,0,0,3,0,0,0,3
50206,Brooklyn,9,0,32,0,0,1,42
50206,Brooklyn,13,0,52,0,0,1,66
52218,Manhattan,0,12,12,0,6,0,120
54978,Bronx,0,0,0,1,0,0,1
54979,Queens,0,0,1,0,0,0,1
53519,Brooklyn,0,0,10,0,0,0,50
54976,Bronx,0,0,1,0,0,0,1
54977,Staten Island,0,0,1,0,0,0,1
54389,Manhattan,0,0,0,39,89,1,256
65075,Brooklyn,0,0,3,0,0,0,15
49562,Bronx,0,48,38,0,0,0,86
54728,Manhattan,0,0,90,0,0,0,90
54913,Brooklyn,1,0,0,0,0,0,1
54975,Staten Island,0,1,0,0,0,0,1
54689,Staten Island,0,0,1,0,0,0,1
58292,Staten Island,0,0,0,0,1,0,1
54690,Staten Island,0,0,1,0,0,0,1
54737,Queens,0,0,1,0,0,0,1
65133,Brooklyn,0,0,2,0,0,0,7
54691,Bronx,0,0,1,0,0,0,1
54739,Bronx,0,0,1,0,0,0,1
54364,Brooklyn,2,0,0,0,0,0,2
54669,Queens,0,0,1,0,0,0,1
54692,Bronx,0,0,1,0,0,0,1
55178,Brooklyn,0,0,2,0,0,0,2
58291,Bronx,0,0,0,0,1,0,1
54740,Staten Island,0,0,1,0,0,0,1
58255,Bronx,0,0,0,0,1,0,1
54741,Brooklyn,0,0,1,0,0,0,1
58494,Staten Island,0,66,0,0,0,1,67
44281,Brooklyn,0,1,30,0,0,0,31
44281,Brooklyn,0,0,31,0,0,0,31
44281,Brooklyn,0,1,25,0,0,1,27
44281,Brooklyn,0,1,30,0,0,0,31
44281,Brooklyn,0,0,31,0,0,0,31
44281,Brooklyn,0,0,89,0,0,0,89
50026,Brooklyn,56,0,22,0,0,1,79
50026,Brooklyn,50,0,5,0,0,0,55
51778,Bronx,20,30,197,0,0,1,248
52661,Bronx,0,0,57,0,0,0,152
53245,Bronx,0,19,75,0,0,1,152
49283,Brooklyn,0,0,150,0,0,0,750
50257,Bronx,0,0,69,0,0,0,69
53277,Brooklyn,0,0,159,0,0,0,159
53553,Bronx,0,91,0,0,0,0,91
53553,Bronx,0,91,0,0,0,0,91
54650,Bronx,0,0,1,0,0,0,1
52320,Brooklyn,0,0,29,0,0,0,142
52723,Brooklyn,42,6,52,0,0,1,101
52723,Brooklyn,20,4,24,0,0,0,48
58254,Staten Island,0,0,0,0,1,0,1
48646,Manhattan,202,0,0,0,0,1,203
