type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.819885999600004,-73.9268469996,Bronx,07/15/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.69934194,-73.99218679020001,Brooklyn,02/13/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6975877701,-73.9930285697,Brooklyn,02/13/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6960704402,-73.99126379,Brooklyn,03/03/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6912339801,-73.98638427,Brooklyn,04/20/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6905880002,-73.9844810002,Brooklyn,03/07/2017 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.7188030002,-74.0001930005,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.7127920003,-73.9514180005,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.714063,-73.9502750004,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.7072199999,-74.0133420002,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.7132430002,-74.0034010005,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.725915,-73.994659,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.707557,-74.01186199979999,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.7064760002,-74.0110559999,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.7252969996,-73.9962039999,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.713065000300006,-74.0041310006,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.6940999996,-73.9917769995,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.692179999699995,-73.9859419996,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6906349998,-73.9818239995,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6836659996,-73.9788099995,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6773159996,-73.9831100002,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.670846999999995,-73.9883019997,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6551440004,-74.0035489995,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6489389998,-74.0100059996,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6844600003,-73.9768900005,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.67705,-73.97236700010001,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.7119259997,-73.9406699994,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.706152,-73.9331469999,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.7066070001,-73.9229129996,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.7038110001,-73.91842500029999,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
Free,Transit Wireless,40.6998139996,-73.911586,Brooklyn,09/09/9999 12:00:00 AM +0000,3,Brooklyn
