INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
206195057,12/07/2019,00:41:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1005530,233943,40.808777943000045,-73.923130702
206195060,12/07/2019,00:23:00,QUEENS,115,0,,false,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1022420,212522,40.749926198000026,-73.86223992399994
206367551,12/06/2019,23:30:00,BRONX,47,0,,false,25-44,M,BLACK,45-64,M,BLACK,1026179,261966,40.88561885600007,-73.84836422499995
206196588,12/06/2019,23:00:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1003812,183893,40.67140715000005,-73.92948225299993
206195056,12/06/2019,17:40:00,BROOKLYN,75,0,PVT HOUSE,false,25-44,M,UNKNOWN,18-24,M,BLACK,1018637,182648,40.66794473600004,-73.87604591299998
206090803,12/05/2019,14:15:00,BRONX,42,0,,false,18-24,M,BLACK,65+,M,BLACK,1008051,239452,40.82389216900003,-73.91400444399994
206090803,12/05/2019,14:15:00,BRONX,42,0,,false,18-24,M,WHITE HISPANIC,65+,M,BLACK,1008051,239452,40.82389216900003,-73.91400444399994
206032523,12/04/2019,23:12:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,45-64,F,BLACK,999390,177145,40.65289404700008,-73.945438299
206032524,12/04/2019,03:30:00,QUEENS,110,0,,false,,,,25-44,M,WHITE,1015799,208304,40.738374951000026,-73.88615590799998
205974389,12/03/2019,20:45:00,BRONX,48,0,,false,,,,18-24,M,BLACK,1014808,247020,40.84464334200004,-73.88955581599998
205974388,12/03/2019,14:28:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1002321,172248,40.63944734500007,-73.93488836999995
205908101,12/02/2019,15:52:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,1006612,185285,40.675221247000025,-73.91938390099993
205908100,12/02/2019,11:50:00,BROOKLYN,67,0,,false,25-44,F,BLACK,25-44,M,BLACK,1004359,173694,40.64341191200003,-73.92754078099993
205862276,12/01/2019,22:10:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1005569,186646,40.678959457000076,-73.92313972699996
205862274,12/01/2019,21:10:00,BROOKLYN,81,0,,false,25-44,M,BLACK,25-44,M,BLACK,1004788,190873,40.69056345100006,-73.92594259299993
205862271,12/01/2019,03:32:00,STATEN ISLAND,123,0,,false,25-44,M,WHITE,25-44,M,WHITE,935099,136277,40.54059638700004,-74.17683949599996
205862275,12/01/2019,01:07:00,QUEENS,114,0,,false,,,,18-24,M,BLACK,1000151,215230,40.75742705300007,-73.94260579999997
205862270,11/30/2019,23:01:00,BRONX,46,0,,true,18-24,M,BLACK,25-44,M,BLACK,1005694,247184,40.84512030900004,-73.92249595899995
205862273,11/29/2019,18:17:00,BROOKLYN,84,0,,false,,,,18-24,M,BLACK,988902,192641,40.69543880800006,-73.98322537599995
205862272,11/29/2019,14:07:00,BRONX,42,0,,false,,,,25-44,M,WHITE HISPANIC,1011977,240173,40.82585965700008,-73.89981617899997
205771022,11/28/2019,08:52:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1016655,182656,40.667974171000026,-73.88319042199998
205771021,11/28/2019,04:12:00,BRONX,50,0,FAST FOOD,false,,,,25-44,M,BLACK,1010272,258954,40.877413096000055,-73.90590391399996
205748549,11/27/2019,23:55:00,QUEENS,113,0,,false,25-44,M,BLACK,18-24,M,BLACK,1046624,184398,40.67259514700004,-73.77514474599997
205748550,11/27/2019,23:30:00,BRONX,45,0,,false,18-24,M,BLACK,18-24,F,WHITE HISPANIC,1032140,242004,40.83079891400007,-73.82694879599995
205748550,11/27/2019,23:30:00,BRONX,45,0,,false,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1032140,242004,40.83079891400007,-73.82694879599995
205748548,11/27/2019,22:24:00,BRONX,41,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1013879,239551,40.82414626900004,-73.89294648299993
205748548,11/27/2019,22:24:00,BRONX,41,0,,false,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1013879,239551,40.82414626900004,-73.89294648299993
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,18-24,F,BLACK,1006789,237559,40.81869973000005,-73.91857061799993
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,25-44,F,BLACK,1006789,237559,40.81869973000005,-73.91857061799993
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,18-24,M,BLACK,1006789,237559,40.81869973000005,-73.91857061799993
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,<18,M,BLACK,1006789,237559,40.81869973000005,-73.91857061799993
205719913,11/27/2019,00:45:00,BRONX,47,0,,false,,,,25-44,M,BLACK,1022778,262631,40.88745957300006,-73.86066017599995
205705081,11/26/2019,20:19:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,<18,M,BLACK,1002012,189767,40.68753374200002,-73.93595560199999
205645837,11/25/2019,22:00:00,QUEENS,114,0,,false,,,,<18,M,BLACK,1002895,220799,40.77270715700007,-73.93268571799997
205599330,11/23/2019,03:20:00,BROOKLYN,69,0,,false,,,,18-24,F,BLACK,1008613,174584,40.645844089000036,-73.91220873599997
205599330,11/23/2019,03:20:00,BROOKLYN,69,0,,false,,,,18-24,M,BLACK,1008613,174584,40.645844089000036,-73.91220873599997
205493216,11/21/2019,18:32:00,BRONX,49,0,,false,,,,18-24,F,BLACK,1026424,251705,40.857454424000025,-73.84754276399997
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,false,,,,18-24,M,BLACK,1007188,243233,40.83427221300008,-73.91710967899996
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,true,,,,18-24,M,BLACK,1007188,243233,40.83427221300008,-73.91710967899996
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,false,,,,25-44,M,BLACK,1007188,243233,40.83427221300008,-73.91710967899996
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,true,,,,25-44,M,BLACK,1007188,243233,40.83427221300008,-73.91710967899996
205437643,11/20/2019,17:58:00,STATEN ISLAND,122,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,M,BLACK,956246,153097,40.586855984000074,-74.10082545299997
205437641,11/20/2019,14:56:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1004925,187027,40.68000674300004,-73.92546037999993
205332522,11/19/2019,08:45:00,BROOKLYN,75,0,,true,,,,25-44,M,BLACK HISPANIC,1013590,181763,40.66553377300004,-73.89424277099994
205280615,11/17/2019,21:12:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,18-24,M,BLACK,1020891,236726,40.816366145000075,-73.86762631099998
205280615,11/17/2019,21:12:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,18-24,M,BLACK,1020891,236726,40.816366145000075,-73.86762631099998
205280613,11/17/2019,14:45:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK HISPANIC,1000102,229680,40.79708858400005,-73.94274857999993
205280617,11/17/2019,02:27:00,BROOKLYN,72,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,978440,174981,40.64696537000003,-74.02093827699997
205280612,11/16/2019,03:44:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,25-44,M,BLACK,995728,190315,40.689048255000046,-73.95861337799995
205280238,11/15/2019,20:22:00,BRONX,46,0,,true,<18,M,BLACK,25-44,M,BLACK,1006957,248723,40.849341252000045,-73.91792586299994
205280614,11/15/2019,00:17:00,BRONX,42,0,,false,<18,M,BLACK,18-24,M,BLACK,1010207,241776,40.83026481100006,-73.90620546899999
205177555,11/14/2019,21:01:00,MANHATTAN,34,0,,true,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1004637,253426,40.86225524200007,-73.92629731299998
205177556,11/14/2019,00:59:00,BRONX,44,0,,false,,,,18-24,M,WHITE HISPANIC,1004530,242729,40.83289538100007,-73.92671649599998
