postcode,borough,latitude,longitude
10013,MANHATTAN,40.718128,-73.99499300000001
10013,MANHATTAN,40.717821,-73.99515500000001
10002,MANHATTAN,40.712433000000004,-73.99273199999999
10038,MANHATTAN,40.712875,-73.998586
10002,MANHATTAN,40.713149,-73.99298399999999
10002,MANHATTAN,40.713761,-73.993666
10002,MANHATTAN,40.714299,-73.993723
10002,MANHATTAN,40.715389,-73.99353599999999
10002,MANHATTAN,40.714771,-73.99265600000001
10002,MANHATTAN,40.715018,-73.992313
10002,MANHATTAN,40.717132,-73.99550500000001
10002,MANHATTAN,40.716525,-73.994647
10002,MANHATTAN,40.715916,-73.995127
10002,MANHATTAN,40.717607,-73.995245
10002,MANHATTAN,40.718403,-73.994665
10002,MANHATTAN,40.717044,-73.992547
10002,MANHATTAN,40.717969000000004,-73.986458
10002,MANHATTAN,40.718559,-73.99
10002,MANHATTAN,40.718559,-73.99
10002,MANHATTAN,40.719967,-73.988023
10002,MANHATTAN,40.719111,-73.988864
10002,MANHATTAN,40.720362,-73.9882
10002,MANHATTAN,40.721810999999995,-73.98746700000001
10002,MANHATTAN,40.721853,-73.988304
10002,MANHATTAN,40.718095,-73.990938
10002,MANHATTAN,40.720040999999995,-73.98926
10002,MANHATTAN,40.719454,-73.98956
10002,MANHATTAN,40.721043,-73.988748
10002,MANHATTAN,40.723137,-73.989303
10002,MANHATTAN,40.722248,-73.988899
10002,MANHATTAN,40.718707,-73.99268000000001
10002,MANHATTAN,40.723382,-73.990144
10002,MANHATTAN,40.719051,-73.994553
10002,MANHATTAN,40.720741,-73.993864
10002,MANHATTAN,40.721337,-73.992561
10002,MANHATTAN,40.721949,-73.993402
10002,MANHATTAN,40.722747999999996,-73.99310600000001
10002,MANHATTAN,40.722786,-73.99146400000001
10003,MANHATTAN,40.728269,-73.984803
10003,MANHATTAN,40.725465,-73.991879
10003,MANHATTAN,40.726046999999994,-73.991908
10003,MANHATTAN,40.727751,-73.9912
10003,MANHATTAN,40.728171,-73.990897
10003,MANHATTAN,40.72821,-73.98868900000001
10003,MANHATTAN,40.729279999999996,-73.990085
10003,MANHATTAN,40.729793,-73.989703
10003,MANHATTAN,40.729807,-73.989692
10003,MANHATTAN,40.731415000000005,-73.98853299999999
10013,MANHATTAN,40.719251,-73.994495
10013,MANHATTAN,40.719018,-73.994589
10013,MANHATTAN,40.719193,-73.996883
10013,MANHATTAN,40.721524,-73.999278
10013,MANHATTAN,40.723687,-74.005372
10012,MANHATTAN,40.720687,-73.995173
10013,MANHATTAN,40.720733,-73.997388
10012,MANHATTAN,40.724183000000004,-74.003196
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
10013,MANHATTAN,40.725615999999995,-74.005253
