occur_date,occur_time,borough,precinct,vic_sex,latitude,longitude
09/29/2019,18:30:00,STATEN ISLAND,120,M,40.621570706000064,-74.07804344
09/29/2019,00:35:00,BRONX,47,M,40.88649666100008,-73.84591741799994
09/28/2019,01:17:00,BRONX,42,M,40.83855936400005,-73.89660592299998
09/27/2019,23:29:00,BROOKLYN,75,M,40.671634710000035,-73.87442765599997
09/27/2019,21:45:00,QUEENS,101,F,40.59368532700007,-73.75907037999998
09/27/2019,20:40:00,BROOKLYN,75,F,40.66762987300007,-73.89625447799993
09/27/2019,20:40:00,BROOKLYN,75,M,40.66762987300007,-73.89625447799993
09/27/2019,20:40:00,BROOKLYN,75,M,40.66762987300007,-73.89625447799993
09/27/2019,20:03:00,QUEENS,101,M,40.59646293100008,-73.77246640899993
09/27/2019,20:03:00,QUEENS,101,M,40.59646293100008,-73.77246640899993
09/27/2019,20:03:00,QUEENS,101,M,40.59646293100008,-73.77246640899993
09/27/2019,20:03:00,QUEENS,101,M,40.59646293100008,-73.77246640899993
09/26/2019,19:00:00,BROOKLYN,84,M,40.694374168000024,-73.98566339999995
09/26/2019,14:00:00,MANHATTAN,25,M,40.799631850000026,-73.94616681699993
09/26/2019,02:30:00,BRONX,40,M,40.812525348000065,-73.92442689199999
09/25/2019,19:15:00,BROOKLYN,69,M,40.64488058200004,-73.89268997599999
09/24/2019,22:51:00,BROOKLYN,71,F,40.65775788800004,-73.95177405399994
09/24/2019,21:00:00,BRONX,42,M,40.832416753000075,-73.89071440599997
09/24/2019,17:45:00,BROOKLYN,73,M,40.67005407200002,-73.92117453999998
09/24/2019,16:35:00,BRONX,46,M,40.84799365100001,-73.91799620099994
09/23/2019,19:50:00,BROOKLYN,81,M,40.67918825200008,-73.92054002199995
09/23/2019,17:48:00,BROOKLYN,70,F,40.64085528000004,-73.95820727299997
09/23/2019,17:48:00,BROOKLYN,70,F,40.64085528000004,-73.95820727299997
09/23/2019,11:45:00,MANHATTAN,23,M,40.795847213000044,-73.94691026399995
09/23/2019,11:45:00,MANHATTAN,23,M,40.795847213000044,-73.94691026399995
09/23/2019,02:10:00,MANHATTAN,30,M,40.82048727700004,-73.95494033399994
09/23/2019,00:23:00,BRONX,50,M,40.870041281000056,-73.90311219699998
09/22/2019,20:38:00,BRONX,42,M,40.82449489700008,-73.91252947799995
09/22/2019,20:30:00,BROOKLYN,67,M,40.638706899000056,-73.94681909099995
09/22/2019,20:17:00,QUEENS,113,M,40.700315647000025,-73.76598816099995
09/22/2019,20:17:00,QUEENS,113,M,40.700315647000025,-73.76598816099995
09/22/2019,03:40:00,BRONX,45,M,40.81689486900007,-73.83880601299995
09/21/2019,22:49:00,QUEENS,113,M,40.688914490000045,-73.75444613099995
09/21/2019,20:45:00,BROOKLYN,67,M,40.64047529100003,-73.94846436099994
09/21/2019,20:45:00,BROOKLYN,67,M,40.64047529100003,-73.94846436099994
09/21/2019,20:45:00,BROOKLYN,67,M,40.64047529100003,-73.94846436099994
09/18/2019,19:47:00,BRONX,44,M,40.834823081000025,-73.91597788499998
09/18/2019,00:30:00,MANHATTAN,28,M,40.80027140300007,-73.95248348799998
09/17/2019,22:37:00,BRONX,44,M,40.824144257000064,-73.91717287899995
09/17/2019,08:51:00,STATEN ISLAND,120,F,40.617875887000025,-74.08244438599995
09/17/2019,00:44:00,QUEENS,108,M,40.74526492500007,-73.90503314699998
09/16/2019,19:33:00,MANHATTAN,25,F,40.80093037300003,-73.94109824099995
09/16/2019,00:20:00,BROOKLYN,88,M,40.69501525100002,-73.97809388299999
09/15/2019,23:20:00,BROOKLYN,88,F,40.69703399000008,-73.97163074399998
09/15/2019,18:55:00,MANHATTAN,32,M,40.82102539800008,-73.93760473699997
09/15/2019,05:44:00,BRONX,52,M,40.863813486000026,-73.89073873399997
09/15/2019,00:46:00,BRONX,43,M,40.82295411300004,-73.86818046599996
09/14/2019,05:33:00,BROOKLYN,83,M,40.693007599000055,-73.91218269899997
09/14/2019,00:09:00,MANHATTAN,34,M,40.85204555700005,-73.93174513099996
09/13/2019,20:47:00,BROOKLYN,79,M,40.68639573400003,-73.949095931
09/13/2019,17:53:00,BRONX,42,M,40.82518840900008,-73.90447465599993
09/12/2019,20:20:00,BRONX,47,M,40.88735603500004,-73.85902567999993
09/12/2019,05:52:00,MANHATTAN,32,M,40.82305625200007,-73.94242273799993
09/12/2019,01:20:00,BROOKLYN,77,M,40.665926040000045,-73.92546530099996
09/12/2019,01:20:00,BROOKLYN,77,M,40.665926040000045,-73.92546530099996
09/11/2019,23:53:00,BROOKLYN,77,M,40.67508142100007,-73.92363809599993
09/11/2019,21:10:00,QUEENS,105,M,40.66601566000002,-73.77927619999997
09/11/2019,20:00:00,BROOKLYN,67,M,40.65549899200005,-73.91795169699995
09/10/2019,22:11:00,MANHATTAN,23,M,40.792130892000046,-73.936172792
09/08/2019,20:19:00,QUEENS,113,M,40.69086117800003,-73.75863991899995
09/07/2019,23:48:00,MANHATTAN,26,M,40.812950638000075,-73.95588109399995
09/06/2019,16:52:00,BROOKLYN,83,M,40.69205542900005,-73.91253013099998
09/06/2019,16:52:00,BROOKLYN,83,M,40.69205542900005,-73.91253013099998
09/06/2019,16:00:00,BROOKLYN,77,M,40.67081759000007,-73.93511008699994
09/05/2019,20:48:00,BROOKLYN,67,M,40.64374258000004,-73.95073198799997
09/04/2019,20:30:00,BROOKLYN,73,M,40.67119007600007,-73.90952938099997
09/04/2019,20:00:00,BROOKLYN,75,M,40.66713587700008,-73.86697804199997
09/04/2019,00:48:00,BRONX,42,M,40.82441491600008,-73.91569835799999
09/02/2019,23:44:00,STATEN ISLAND,122,M,40.610879854000075,-74.11676658399993
09/02/2019,21:05:00,BROOKLYN,79,M,40.68639573400003,-73.949095931
09/02/2019,20:25:00,BRONX,48,F,40.85451099000005,-73.89291929999997
09/02/2019,12:09:00,BRONX,47,M,40.883235548000066,-73.86299798899995
09/02/2019,05:30:00,BRONX,48,M,40.841183585000074,-73.87989381599994
09/02/2019,04:17:00,QUEENS,102,M,40.69761867900007,-73.82004575599996
09/02/2019,04:17:00,QUEENS,102,M,40.69761867900007,-73.82004575599996
09/02/2019,04:17:00,QUEENS,102,M,40.69761867900007,-73.82004575599996
09/02/2019,04:17:00,QUEENS,102,M,40.69761867900007,-73.82004575599996
09/02/2019,03:42:00,BROOKLYN,83,M,40.69577536400004,-73.90652809699995
09/02/2019,02:57:00,BROOKLYN,70,F,40.63935281700003,-73.95537251499997
09/02/2019,02:57:00,BROOKLYN,70,F,40.63935281700003,-73.95537251499997
09/02/2019,02:57:00,BROOKLYN,70,M,40.63935281700003,-73.95537251499997
09/02/2019,02:57:00,BROOKLYN,70,M,40.63935281700003,-73.95537251499997
09/01/2019,00:05:00,QUEENS,101,M,40.592451366000034,-73.78602574499998
08/31/2019,15:50:00,BROOKLYN,81,M,40.68807093600003,-73.93456684899995
08/31/2019,07:42:00,BRONX,45,M,40.84262515300003,-73.85205834399994
08/31/2019,06:05:00,BROOKLYN,72,M,40.64518571800004,-74.00666069199998
08/31/2019,02:45:00,QUEENS,105,M,40.703936154000075,-73.73324843399995
08/30/2019,22:49:00,QUEENS,104,M,40.711937611000046,-73.90447463599996
08/30/2019,22:35:00,QUEENS,106,M,40.674588380000046,-73.80393908099995
08/30/2019,20:30:00,BRONX,44,M,40.84486682000005,-73.90982448999995
08/30/2019,19:15:00,BROOKLYN,67,M,40.63805647100002,-73.92697009899997
08/30/2019,17:44:00,BROOKLYN,75,M,40.684281548000044,-73.87342672099999
08/30/2019,17:15:00,BROOKLYN,83,M,40.69044044900005,-73.90766784
08/30/2019,01:47:00,QUEENS,103,M,40.693685878000046,-73.80035253199995
08/29/2019,20:45:00,QUEENS,103,M,40.70433647000005,-73.79770578099993
08/29/2019,20:45:00,QUEENS,103,M,40.70433647000005,-73.79770578099993
08/28/2019,15:20:00,MANHATTAN,28,M,40.80027140300007,-73.95248348799998
08/28/2019,00:29:00,BRONX,52,F,40.86350728100007,-73.90446299999998
08/27/2019,21:50:00,BRONX,49,M,40.84145059700006,-73.86804261899994
08/27/2019,21:33:00,BROOKLYN,71,M,40.660436625000045,-73.93977335499993
08/27/2019,14:20:00,BRONX,44,M,40.83021160200008,-73.91182094199995
08/27/2019,01:00:00,QUEENS,113,F,40.682499421000045,-73.78726915499993
08/26/2019,21:25:00,QUEENS,105,M,40.65092724700002,-73.73494154499997
08/26/2019,21:20:00,BRONX,40,M,40.81264236700008,-73.91509552299993
08/26/2019,15:47:00,QUEENS,113,M,40.672085081000034,-73.75649442199995
08/26/2019,03:23:00,MANHATTAN,5,M,40.72135294100008,-73.99033666499997
08/25/2019,20:20:00,BROOKLYN,62,F,40.60588050000007,-73.99873015699995
08/25/2019,17:00:00,QUEENS,110,M,40.73455764800008,-73.88405877499997
08/25/2019,04:29:00,BROOKLYN,60,M,40.583388831000036,-73.986522456
08/25/2019,03:20:00,BRONX,52,M,40.87348021900005,-73.87961129699994
08/25/2019,01:20:00,QUEENS,115,M,40.75197560600003,-73.86377323599999
08/25/2019,00:59:00,QUEENS,110,M,40.73817137200007,-73.86075225699994
08/24/2019,20:15:00,QUEENS,103,M,40.691290713000065,-73.79779584499995
08/24/2019,02:10:00,MANHATTAN,5,M,40.72229427400004,-73.98900890899995
08/24/2019,00:50:00,BRONX,47,M,40.880992555000034,-73.86251079699997
08/23/2019,22:10:00,QUEENS,103,M,40.697805308000056,-73.80814071699997
08/23/2019,19:18:00,BROOKLYN,63,M,40.63630990100006,-73.92146300499998
08/23/2019,17:58:00,BRONX,40,M,40.80791877300004,-73.91901728199997
08/23/2019,17:58:00,BRONX,40,M,40.80791877300004,-73.91901728199997
08/22/2019,23:47:00,MANHATTAN,9,M,40.730667809000074,-73.98307939999995
08/22/2019,19:40:00,QUEENS,113,M,40.66753798700007,-73.76356183699994
08/22/2019,18:03:00,BRONX,46,M,40.85454734900002,-73.91333944399997
08/22/2019,18:03:00,BRONX,46,M,40.85454734900002,-73.91333944399997
08/21/2019,23:34:00,STATEN ISLAND,120,M,40.634411467000064,-74.11896229899995
08/21/2019,03:42:00,BROOKLYN,73,M,40.662565245000046,-73.91962987899994
08/21/2019,01:30:00,BRONX,49,M,40.85556779000007,-73.86666264199994
08/20/2019,22:11:00,BROOKLYN,60,M,40.57767409600008,-73.98605562899995
08/20/2019,21:25:00,BROOKLYN,73,M,40.66473194200007,-73.92117001499997
08/20/2019,20:08:00,QUEENS,103,M,40.69382354100002,-73.800597338
08/20/2019,00:29:00,QUEENS,105,M,40.66428299800003,-73.77188182599998
08/19/2019,01:26:00,BRONX,42,M,40.82880838400007,-73.89466620499995
08/18/2019,03:52:00,BRONX,43,M,40.81572025100007,-73.86450258499997
08/18/2019,02:30:00,BROOKLYN,73,M,40.66486580000004,-73.92024708999998
08/18/2019,02:30:00,BROOKLYN,73,M,40.66486580000004,-73.92024708999998
08/17/2019,22:19:00,BROOKLYN,83,M,40.69151240700006,-73.90955229099995
08/17/2019,04:47:00,BRONX,40,M,40.821466074000064,-73.91810115099996
08/16/2019,22:25:00,BRONX,52,M,40.86565846400004,-73.89131055799999
08/16/2019,22:25:00,BRONX,52,M,40.86565846400004,-73.89131055799999
08/16/2019,22:19:00,BROOKLYN,73,M,40.670168236000045,-73.91572748899993
08/16/2019,16:45:00,MANHATTAN,24,M,40.796444217000044,-73.96491761499993
08/16/2019,03:06:00,BROOKLYN,75,F,40.66904549700007,-73.88135010699995
08/15/2019,22:59:00,MANHATTAN,30,M,40.82502272800008,-73.945000882
08/15/2019,00:26:00,BRONX,41,M,40.824178317000076,-73.89802295699997
08/14/2019,23:14:00,BROOKLYN,83,M,40.696018140000035,-73.93172454799998
08/14/2019,17:10:00,BROOKLYN,75,M,40.683761854000075,-73.88564701099993
08/13/2019,23:49:00,BROOKLYN,62,M,40.60894803700006,-73.98372250599994
08/13/2019,23:49:00,BROOKLYN,62,M,40.60894803700006,-73.98372250599994
08/13/2019,23:40:00,MANHATTAN,30,M,40.82922409500002,-73.94336412599996
08/13/2019,15:55:00,QUEENS,105,M,40.67764073700005,-73.74271647099994
08/13/2019,03:45:00,BRONX,46,M,40.84676363700004,-73.91011107099996
08/12/2019,19:38:00,MANHATTAN,25,M,40.79863064400007,-73.93659275299996
08/12/2019,16:21:00,BROOKLYN,75,M,40.661774156000035,-73.89809461399994
08/12/2019,16:21:00,BROOKLYN,75,M,40.661774156000035,-73.89809461399994
08/12/2019,03:10:00,MANHATTAN,20,M,40.77429060000002,-73.98711927099998
08/11/2019,23:42:00,BRONX,49,M,40.86858934000002,-73.86725479999996
08/11/2019,23:42:00,BRONX,49,M,40.86858934000002,-73.86725479999996
08/11/2019,23:30:00,BROOKLYN,63,M,40.60262094700005,-73.914663965
08/11/2019,04:20:00,BROOKLYN,75,F,40.661487692000044,-73.87233098799999
08/11/2019,04:20:00,BROOKLYN,75,M,40.661487692000044,-73.87233098799999
08/11/2019,04:00:00,QUEENS,113,M,40.68844691900005,-73.79612414799993
08/11/2019,03:40:00,BROOKLYN,75,F,40.67611797400008,-73.90078017499997
08/11/2019,03:40:00,BROOKLYN,75,M,40.67611797400008,-73.90078017499997
08/11/2019,02:47:00,BROOKLYN,75,M,40.669050105000046,-73.87035911599996
08/11/2019,02:17:00,MANHATTAN,13,M,40.74095063100003,-73.99212733199995
08/10/2019,23:37:00,BRONX,48,M,40.83946674600002,-73.88948128799996
08/10/2019,22:51:00,BROOKLYN,67,M,40.64433272300005,-73.93927980499996
08/10/2019,22:00:00,QUEENS,114,M,40.77533592200007,-73.93628998399998
08/10/2019,16:50:00,BRONX,40,M,40.81698058400008,-73.92115225499998
08/08/2019,22:28:00,BROOKLYN,67,M,40.65120677600004,-73.941425027
08/08/2019,00:13:00,STATEN ISLAND,121,M,40.635920928000075,-74.16943934199999
08/06/2019,18:30:00,BROOKLYN,73,M,40.67003008100005,-73.90404439699995
08/06/2019,14:45:00,BRONX,44,M,40.83202215400007,-73.91795806799998
08/06/2019,00:27:00,STATEN ISLAND,120,M,40.63953693600007,-74.08730302399994
08/05/2019,20:46:00,QUEENS,114,M,40.75524058600007,-73.94484914899994
08/05/2019,16:45:00,BROOKLYN,73,M,40.662767503000055,-73.90752952599996
08/05/2019,01:52:00,BROOKLYN,77,F,40.67117671300008,-73.92532965699995
08/05/2019,01:52:00,BROOKLYN,77,F,40.67117671300008,-73.92532965699995
08/05/2019,01:52:00,BROOKLYN,77,M,40.67117671300008,-73.92532965699995
08/05/2019,01:52:00,BROOKLYN,77,M,40.67117671300008,-73.92532965699995
08/05/2019,01:45:00,BRONX,48,M,40.84252117200003,-73.88077326199993
08/04/2019,06:44:00,BROOKLYN,73,F,40.66983535600008,-73.91469332599996
08/04/2019,04:00:00,BROOKLYN,79,M,40.679308959000025,-73.94961690299994
08/04/2019,03:47:00,MANHATTAN,26,M,40.81043801200008,-73.952837473
