borough,acres,typecatego,waterfront
Q,0.7040000000000001,Undeveloped,Yes
X,1.6230000000000002,Jointly Operated Playground,No
Q,4.427,Community Park,No
X,0.287,Playground,No
Q,19.555999999999997,Nature Area,Yes
X,206.717,Parkway,Yes
B,0.004,Strip,No
X,0.1,Triangle/Plaza,No
Q,1.21,Jointly Operated Playground,No
Q,1.719,Jointly Operated Playground,No
M,2.443,Community Park,No
X,0.9129999999999999,Jointly Operated Playground,No
R,0.735,Nature Area,No
B,0.955,Jointly Operated Playground,No
B,0.039,Triangle/Plaza,No
M,0.11800000000000001,Playground,No
Q,0.001,Strip,No
B,8.271,Neighborhood Park,No
M,0.043,Garden,No
Q,45.937,Community Park,No
Q,0.396,Triangle/Plaza,No
X,0.037000000000000005,Strip,No
B,0.23,Garden,No
X,0.12,Triangle/Plaza,No
M,1.239,Recreation Field/Courts,No
R,0.124,Cemetery,No
M,0.038,Garden,No
Q,1.439,Jointly Operated Playground,No
B,1.195,Triangle/Plaza,No
B,16.16,Community Park,No
M,66.693,Community Park,Yes
X,0.03,Undeveloped,No
Q,1.415,Neighborhood Park,No
Q,0.226,Cemetery,No
M,0.174,Playground,No
X,1.26,Recreation Field/Courts,No
B,0.106,Playground,No
Q,1.699,Jointly Operated Playground,No
B,30.168000000000003,Community Park,No
M,4.355,Neighborhood Park,No
M,0.6,Neighborhood Park,No
Q,0.023,Strip,No
B,1.3330000000000002,Jointly Operated Playground,No
X,0.138,Triangle/Plaza,No
R,16.505,Nature Area,No
X,1.054,Playground,No
B,1.252,Jointly Operated Playground,No
M,1.67,Neighborhood Park,No
X,0.083,Strip,No
M,0.051,Triangle/Plaza,No
X,1.28,Jointly Operated Playground,No
M,0.245,Jointly Operated Playground,No
B,1.13,Historic House Park,No
M,2.61,Playground,No
B,0.18100000000000002,Garden,No
X,0.12,Triangle/Plaza,No
B,1.5,Jointly Operated Playground,No
B,3.557,Neighborhood Park,No
B,0.068,Garden,No
M,4.35,Community Park,No
Q,149.54,Nature Area,Yes
Q,0.07400000000000001,Triangle/Plaza,No
B,0.057,Garden,No
B,1.371,Neighborhood Park,No
M,0.29,Buildings/Institutions,No
Q,171.2,Parkway,No
M,0.11900000000000001,Garden,No
B,0.436,Playground,No
X,0.743,Mall,No
B,0.026000000000000002,Parkway,No
B,0.773,Recreation Field/Courts,No
X,0.024,Triangle/Plaza,No
X,0.04,Triangle/Plaza,No
Q,0.084,Triangle/Plaza,No
Q,2.758,Neighborhood Park,No
B,526.25,Flagship Park,No
B,0.19,Garden,No
X,0.11,Garden,No
X,3.4,Recreation Field/Courts,No
B,0.213,Triangle/Plaza,No
X,1.016,Neighborhood Park,Yes
Q,104.6,Managed Sites,No
M,0.122,Playground,No
R,0.271,Neighborhood Park,No
M,0.268,Neighborhood Park,Yes
M,0.361,Garden,No
X,0.322,Jointly Operated Playground,No
B,0.6890000000000001,Jointly Operated Playground,No
Q,0.83,Triangle/Plaza,Yes
M,0.109,Garden,No
X,7.49,Nature Area,Yes
Q,0.27,Triangle/Plaza,No
B,0.23,Playground,No
Q,0.327,Playground,No
X,1.381,Neighborhood Park,No
M,0.052000000000000005,Garden,No
X,54.1,Parkway,No
B,0.06,Garden,No
X,0.09,Triangle/Plaza,No
B,0.705,Playground,No
Q,55.638999999999996,Community Park,No
R,2.21,Neighborhood Park,No
Q,6.28,Neighborhood Park,Yes
Q,2.937,Playground,No
Q,0.004,Strip,No
B,2.112,Neighborhood Park,No
X,0.336,Garden,No
M,1.3,Mall,No
B,4.32,Triangle/Plaza,No
M,0.436,Playground,No
M,0.231,Playground,No
B,0.102,Triangle/Plaza,No
Q,1.166,Jointly Operated Playground,No
Q,2.217,Neighborhood Park,No
B,64.665,Nature Area,Yes
B,1.101,Playground,No
Q,0.7859999999999999,Jointly Operated Playground,No
B,0.057999999999999996,Garden,No
B,2.656,Jointly Operated Playground,No
X,0.5489999999999999,Playground,No
B,0.32799999999999996,Playground,No
B,0.14,Garden,No
Q,1.297,Jointly Operated Playground,No
M,0.07200000000000001,Historic House Park,No
M,0.32,Triangle/Plaza,No
X,144.29,Nature Area,Yes
M,0.067,Triangle/Plaza,No
B,0.086,Garden,No
X,1.682,Mall,No
B,1.649,Cemetery,No
R,217.45,Nature Area,Yes
X,0.344,Playground,No
Q,0.46,Recreation Field/Courts,No
B,0.081,Garden,No
M,1.24,Playground,No
Q,0.159,Triangle/Plaza,Yes
R,107.57600000000001,Undeveloped,No
Q,0.10400000000000001,Triangle/Plaza,No
X,0.11699999999999999,Triangle/Plaza,No
Q,1.71,Triangle/Plaza,No
B,1.8159999999999998,Neighborhood Park,No
Q,22.6,Neighborhood Park,Yes
B,1.65,Recreation Field/Courts,No
Q,0.25,Triangle/Plaza,No
Q,11.788,Neighborhood Park,No
M,0.095,Triangle/Plaza,No
B,2.289,Neighborhood Park,No
M,1.59,Triangle/Plaza,No
X,0.47700000000000004,Jointly Operated Playground,No
X,0.023,Strip,No
R,0.113,Strip,No
X,0.972,Neighborhood Park,No
X,3.301,Neighborhood Park,No
B,1.38,Playground,Yes
X,1.11,Triangle/Plaza,No
R,214.947,Nature Area,No
X,15.32,Neighborhood Park,No
X,0.023,Strip,No
R,4.22,Nature Area,No
B,2.9389999999999996,Neighborhood Park,No
Q,1.9780000000000002,Neighborhood Park,No
B,1.547,Jointly Operated Playground,No
R,104.545,Waterfront Facility,Yes
B,0.15,Triangle/Plaza,No
Q,0.094,Triangle/Plaza,No
M,0.23,Mall,No
M,0.222,Triangle/Plaza,No
B,0.687,Garden,No
B,10.384,Neighborhood Park,No
B,1.29,Community Park,No
B,0.091,Garden,No
M,0.061,Garden,No
B,0.149,Garden,No
B,0.59,Playground,No
B,47.57,Buildings/Institutions,No
B,0.165,Garden,No
B,0.579,Playground,No
B,0.09300000000000001,Triangle/Plaza,No
R,0.033,Triangle/Plaza,No
Q,2.003,Jointly Operated Playground,No
M,17.581,Buildings/Institutions,No
X,229.14,Parkway,No
Q,7.683,Community Park,No
Q,3.8139999999999996,Jointly Operated Playground,No
M,1.27,Jointly Operated Playground,No
B,0.065,Garden,No
X,0.618,Playground,No
M,0.129,Garden,No
Q,40.07,Community Park,Yes
X,0.17,Triangle/Plaza,No
X,0.326,Triangle/Plaza,No
X,0.22699999999999998,Garden,No
B,0.36700000000000005,Playground,No
M,0.38,Garden,No
Q,2.035,Jointly Operated Playground,No
M,1.89,Neighborhood Park,No
B,0.115,Garden,No
M,0.063,Garden,No
Q,0.247,Cemetery,No
Q,0.044000000000000004,Triangle/Plaza,No
B,0.13,Garden,No
M,3.9,Playground,No
R,12.247,Buildings/Institutions,No
M,0.052000000000000005,Garden,No
R,2.476,Cemetery,No
X,0.248,Garden,No
R,3.593,Jointly Operated Playground,No
Q,3.8089999999999997,Waterfront Facility,Yes
B,8.807,Buildings/Institutions,Yes
X,0.006999999999999999,Strip,No
Q,0.551,Playground,No
M,1.43,Community Park,No
Q,0.8170000000000001,Buildings/Institutions,No
Q,0.185,Mall,No
X,8.834,Neighborhood Park,Yes
B,2.3,Neighborhood Park,No
M,170.7,Recreation Field/Courts,Yes
M,0.10400000000000001,Garden,No
Q,0.048,Cemetery,No
Q,0.8759999999999999,Jointly Operated Playground,No
M,0.26899999999999996,Triangle/Plaza,No
B,0.032,Garden,No
B,54.78,Nature Area,Yes
M,0.489,Neighborhood Park,No
Q,0.02,Strip,No
B,1.24,Playground,No
B,0.9179999999999999,Jointly Operated Playground,No
X,0.114,Garden,No
X,1.186,Jointly Operated Playground,No
Q,13.825999999999999,Triangle/Plaza,Yes
M,0.14,Garden,No
X,0.94,Playground,No
R,32.153,Nature Area,No
Q,1.722,Neighborhood Park,No
Q,37.95,Nature Area,Yes
Q,1.4269999999999998,Playground,No
Q,3.622,Recreation Field/Courts,Yes
B,39.5,Recreation Field/Courts,No
X,1.0,Playground,No
Q,0.003,Triangle/Plaza,No
B,0.068,Garden,No
X,1.597,Jointly Operated Playground,No
B,0.7390000000000001,Playground,No
B,0.09699999999999999,Triangle/Plaza,No
Q,3.735,Neighborhood Park,No
B,0.10400000000000001,Garden,No
X,1.88,Buildings/Institutions,No
M,0.059000000000000004,Garden,No
B,3.201,Community Park,No
X,11.39,Neighborhood Park,No
X,0.06,Triangle/Plaza,No
Q,0.759,Playground,No
B,0.068,Garden,No
R,5.765,Nature Area,No
B,2.0869999999999997,Jointly Operated Playground,No
M,1.984,Neighborhood Park,Yes
B,0.92,Triangle/Plaza,No
B,0.983,Undeveloped,No
M,0.525,Jointly Operated Playground,No
X,0.82,Neighborhood Park,No
B,16.8,Neighborhood Park,No
B,0.125,Playground,No
X,0.7440000000000001,Playground,No
Q,0.142,Undeveloped,No
B,0.011000000000000001,Triangle/Plaza,No
M,0.11599999999999999,Garden,No
M,46.657,Parkway,Yes
X,44.174,Community Park,No
X,1.205,Jointly Operated Playground,No
M,0.402,Jointly Operated Playground,No
Q,0.01,Triangle/Plaza,No
X,0.68,Jointly Operated Playground,No
X,0.667,Strip,No
B,0.165,Garden,No
X,0.207,Garden,No
B,1.702,Lot,No
X,0.313,Triangle/Plaza,No
Q,1.033,Neighborhood Park,No
B,0.48,Triangle/Plaza,No
X,1.001,Playground,No
Q,0.6579999999999999,Triangle/Plaza,No
Q,0.17,Triangle/Plaza,No
B,0.19699999999999998,Playground,No
M,0.17,Buildings/Institutions,No
B,0.025,Garden,No
M,0.096,Garden,No
Q,1.0759999999999998,Jointly Operated Playground,No
M,0.738,Jointly Operated Playground,No
B,6.235,Recreation Field/Courts,No
M,0.076,Triangle/Plaza,No
B,0.9179999999999999,Neighborhood Park,No
X,0.94,Playground,No
B,0.063,Garden,No
M,0.18600000000000003,Garden,No
M,0.9940000000000001,Triangle/Plaza,No
X,0.34,Garden,No
B,0.258,Mall,No
B,1.061,Jointly Operated Playground,No
X,0.342,Neighborhood Park,No
X,0.38,Triangle/Plaza,No
R,2.056,Undeveloped,No
M,0.35100000000000003,Triangle/Plaza,No
B,0.115,Garden,No
X,0.207,Playground,No
B,6.611000000000001,Neighborhood Park,Yes
X,0.764,Nature Area,No
Q,0.467,Triangle/Plaza,No
B,0.037000000000000005,Garden,No
Q,0.036000000000000004,Triangle/Plaza,No
M,0.165,Triangle/Plaza,No
B,1.032,Playground,No
M,256.111,Flagship Park,Yes
M,0.625,Triangle/Plaza,No
B,0.057,Triangle/Plaza,No
R,286.382,Nature Area,Yes
R,15.368,Nature Area,Yes
Q,0.10099999999999999,Playground,No
B,1.595,Jointly Operated Playground,No
M,0.192,Playground,No
M,0.9470000000000001,Jointly Operated Playground,No
R,1.324,Neighborhood Park,No
X,9.488,Lot,No
X,1.32,Jointly Operated Playground,No
B,77.044,Nature Area,Yes
B,6.401,Neighborhood Park,No
X,1.02,Playground,No
Q,23.543000000000003,Community Park,No
M,0.187,Triangle/Plaza,No
M,0.688,Playground,No
Q,1.206,Jointly Operated Playground,No
X,0.201,Playground,No
X,4.0,Neighborhood Park,No
X,0.096,Playground,No
B,0.89,Jointly Operated Playground,No
R,4.605,Waterfront Facility,Yes
Q,0.10099999999999999,Triangle/Plaza,No
M,196.398,Community Park,Yes
Q,2.2,Neighborhood Park,No
B,4.044,Playground,No
M,0.048,Garden,No
Q,0.018000000000000002,Triangle/Plaza,No
M,0.12300000000000001,Garden,No
M,0.023,Garden,No
Q,47.08,Managed Sites,No
M,0.789,Neighborhood Park,No
Q,0.08199999999999999,Strip,No
X,0.16699999999999998,Parkway,No
B,0.091,Garden,No
X,2.331,Playground,No
B,0.057999999999999996,Triangle/Plaza,No
M,0.034,Garden,No
M,0.122,Garden,No
R,0.892,Jointly Operated Playground,No
M,0.092,Triangle/Plaza,No
Q,1.025,Jointly Operated Playground,No
M,28.434,Community Park,Yes
R,5.188,Nature Area,No
M,0.44799999999999995,Triangle/Plaza,No
M,0.851,Jointly Operated Playground,No
B,0.20600000000000002,Jointly Operated Playground,No
B,0.9329999999999999,Jointly Operated Playground,No
Q,0.49200000000000005,Triangle/Plaza,No
X,2.537,Jointly Operated Playground,No
B,1.315,Jointly Operated Playground,No
X,1.882,Jointly Operated Playground,No
R,1.43,Triangle/Plaza,No
M,20.132,Community Park,No
B,1.003,Playground,No
X,0.316,Playground,No
Q,13.894,Nature Area,No
Q,0.315,Triangle/Plaza,No
B,0.073,Garden,No
B,0.177,Garden,No
X,3.85,Neighborhood Park,No
X,0.12,Garden,No
B,1.08,Undeveloped,No
Q,0.18,Garden,No
X,1.13,Managed Sites,Yes
Q,0.057,Garden,No
B,0.172,Garden,No
X,2.5,Neighborhood Park,No
Q,0.32,Triangle/Plaza,No
X,0.529,Playground,No
M,2.13,Parkway,No
B,0.996,Playground,No
M,2.752,Neighborhood Park,No
M,0.094,Triangle/Plaza,No
Q,0.054000000000000006,Triangle/Plaza,No
M,0.40299999999999997,Neighborhood Park,No
X,1146.43,Flagship Park,No
R,0.845,Nature Area,No
X,0.43,Garden,No
Q,0.978,Neighborhood Park,No
X,0.82,Playground,No
B,0.868,Jointly Operated Playground,No
M,1.383,Neighborhood Park,No
B,24.218000000000004,Neighborhood Park,No
M,0.192,Triangle/Plaza,No
M,0.1,Garden,No
Q,0.051,Triangle/Plaza,No
Q,1.31,Playground,No
M,0.05,Garden,No
X,0.36,Triangle/Plaza,No
Q,0.254,Triangle/Plaza,No
B,0.114,Garden,No
B,10.390999999999998,Community Park,No
Q,3.4,Strip,No
B,4.525,Neighborhood Park,Yes
R,760.79,Flagship Park,No
Q,1.016,Jointly Operated Playground,No
M,0.669,Neighborhood Park,No
B,0.249,Garden,No
B,0.332,Garden,No
X,0.017,Triangle/Plaza,No
Q,1.48,Jointly Operated Playground,No
M,0.97,Neighborhood Park,No
Q,1.598,Playground,No
B,1.5,Neighborhood Park,No
B,0.045,Triangle/Plaza,No
B,3.023,Jointly Operated Playground,No
Q,1.993,Undeveloped,No
X,0.76,Garden,No
B,0.052000000000000005,Triangle/Plaza,No
B,45.059,Flagship Park,No
M,0.8909999999999999,Jointly Operated Playground,No
X,0.461,Playground,No
B,1.06,Jointly Operated Playground,No
Q,9.154,Community Park,No
X,8.005,Nature Area,Yes
B,1.6480000000000001,Playground,No
M,0.8109999999999999,Playground,No
R,1.6,Playground,No
B,0.057,Garden,No
M,0.057,Garden,No
Q,0.09,Triangle/Plaza,No
B,0.28,Garden,No
X,1.51,Jointly Operated Playground,No
M,840.01,Flagship Park,No
Q,2.8569999999999998,Playground,No
M,0.345,Triangle/Plaza,No
R,10.5,Community Park,No
M,0.684,Playground,No
M,0.106,Garden,No
X,0.009000000000000001,Triangle/Plaza,No
X,0.141,Playground,No
Q,0.166,Triangle/Plaza,No
B,0.565,Playground,No
M,0.135,Playground,No
Q,1.492,Garden,No
M,0.069,Garden,No
Q,0.98,Jointly Operated Playground,No
M,0.551,Jointly Operated Playground,No
B,63.636,Parkway,No
B,0.09,Parkway,No
B,1.8359999999999999,Recreation Field/Courts,No
Q,0.22,Triangle/Plaza,No
B,1.033,Jointly Operated Playground,No
X,1.23,Jointly Operated Playground,No
M,1.5,Community Park,No
Q,1.479,Jointly Operated Playground,No
X,0.92,Jointly Operated Playground,No
B,3.214,Neighborhood Park,No
M,0.267,Garden,No
M,0.11699999999999999,Triangle/Plaza,No
B,0.04,Garden,No
X,0.9109999999999999,Playground,No
B,7.79,Neighborhood Park,No
X,0.511,Undeveloped,No
R,34.689,Nature Area,Yes
B,0.41,Garden,No
B,58.503,Community Park,Yes
Q,0.115,Garden,No
B,1.581,Playground,No
B,2.783,Jointly Operated Playground,No
Q,0.004,Triangle/Plaza,No
B,0.23,Garden,No
X,0.032,Garden,No
B,0.8,Mall,No
Q,1.2009999999999998,Playground,No
B,0.9129999999999999,Playground,No
B,1.187,Neighborhood Park,No
Q,1.051,Jointly Operated Playground,No
